Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  10:00:00,-6.7,1093.389212839994,1.0,676.6412284283772,1.0,676.6412284283772,1093.389212839994,-0.06316998752578129,21.669107060409539,7.646250779481875,-1.0693762829503158,-0.8049823102311905 
 01/01  10:15:00,-6.275,1161.9323893155577,1.0,715.0112779846514,1.0,715.0112779846514,1161.9323893155577,0.1719710840844631,23.765957934394675,8.384186003720288,-0.31363053717518599,-0.6182281603097124 
 01/01  10:30:00,-5.85,1228.7757964757857,1.0,752.5077794605232,1.0,752.5077794605232,1228.7757964757857,0.3905042755931891,25.7004648706739,9.108653994030988,0.4186199359327816,-0.43279205312422266 
 01/01  10:45:00,-5.425,1210.8505877825356,1.0,742.5988714321785,1.0,742.5988714321785,1210.8505877825356,0.5013998376218548,25.55209216354515,9.164322756712523,0.6910656132728263,-0.2615626841831493 
 01/01  11:00:00,-5.0,1184.18659673994,1.0,727.8169025450712,1.0,727.8169025450712,1184.18659673994,0.6098211250454974,25.322029109263153,9.130746469186875,0.9261769625430816,-0.11285383234186747 
 01/01  11:15:00,-4.575,1138.054147249921,1.0,700.3759009170325,1.0,700.3759009170325,1138.054147249921,0.6764549013007966,24.578757898036764,8.927296653339625,1.0887345426457387,0.0098860799928544 
 01/01  11:30:00,-4.15,1102.544188832873,1.0,681.6705029034473,1.0,681.6705029034473,1102.544188832873,0.7585383723285576,24.247590005127348,8.824171898658335,1.3259160077719799,0.11233695448280164 
 01/01  11:45:00,-3.7249999999999998,965.7415425008679,1.0,602.01865277251,1.0,602.01865277251,965.7415425008679,0.6664498722679427,21.219022928408039,7.867745193130872,1.0103975734492679,0.18099740129710019 
 01/01  12:00:00,-3.3,787.4428646782425,1.0,493.55004396206007,1.0,493.55004396206007,787.4428646782425,0.4997082862696159,17.03983262879015,6.448236395541699,0.41777030275892459,0.2026466567708678 
 01/01  12:15:00,-3.0249999999999996,646.6598619199549,1.0,412.335026418112,1.0,412.335026418112,646.6598619199549,0.3910670605802221,14.194234941555674,5.339200159467964,-0.002878123668438093,0.18366639789569379 
 01/01  12:30:00,-2.75,470.6765918912172,1.0,305.94037763660148,1.0,305.94037763660148,470.6765918912172,0.17891323751048314,10.0203000417746,3.8303794144817404,-0.6782633396942401,0.12879850553307618 
 01/01  12:45:00,-2.475,428.2703052140848,1.0,281.0763483922329,1.0,281.0763483922329,428.2703052140848,0.16108798544362597,9.506288542838544,3.50360744234888,-0.5969178939192261,0.06873482799508048 
 01/01  13:00:00,-2.2,386.7401066295795,1.0,256.7721209415886,1.0,256.7721209415886,386.7401066295795,0.13375973354655544,8.898361761340459,3.208432158497658,-0.49553748478899709,0.02174422400930032 
 01/01  13:15:00,-1.9250000000000003,315.0556468746862,1.0,210.73276284570657,1.0,210.73276284570657,315.0556468746862,0.053750884078446619,7.348924144426904,2.5671990044288579,-0.6458020641855455,-0.01669524095476116 
 01/01  13:30:00,-1.6500000000000002,278.2788949493837,1.0,189.38488290342594,1.0,189.38488290342594,278.2788949493837,0.037221973783278888,6.940778705837694,2.2895360570544769,-0.5725575327752495,-0.04775812810211535 
 01/01  13:45:00,-1.375,265.8972739621221,1.0,179.3940297802914,1.0,179.3940297802914,265.8972739621221,0.04613609794418144,7.0587841200812699,2.215242301874582,-0.3717698953331592,-0.07031299242633044 
 01/01  14:00:00,-1.1,253.17453215962645,1.0,169.43349014176136,1.0,169.43349014176136,253.17453215962645,0.052964265806903807,7.15454535559212,2.1405259014954938,-0.17326733261040773,-0.08523588118566432 
 01/01  14:15:00,-1.1,266.1340198700932,1.0,178.15692317953907,1.0,178.15692317953907,266.1340198700932,0.09486743098964577,7.9670013431864679,2.2881767266622434,-0.045937159314462409,-0.09112528976668977 
 01/01  14:30:00,-1.1,249.9359141927583,1.0,166.40516310952945,1.0,166.40516310952945,249.9359141927583,0.06850798891961377,7.602910122000766,2.113752298748068,-0.14150240304775253,-0.09341182979827859 
 01/01  14:45:00,-1.1,209.950642551986,1.0,140.8967369711617,1.0,140.8967369711617,209.950642551986,-0.004519587393161986,6.394000369602049,1.6918789052717785,-0.4321993972350242,-0.10217230477172133 
 01/01  15:00:00,-1.1,172.05522830249874,1.0,116.57355796743004,1.0,116.57355796743004,172.05522830249874,-0.08026491356300417,5.180943604952049,1.266589185770158,-0.7221130025145612,-0.12358962229266264 
 01/01  15:15:00,-1.1,135.9529281669195,1.0,93.14939272689483,1.0,93.14939272689483,135.9529281669195,-0.15443479365453748,4.118747113584441,0.8637418196560702,-0.9649645647523357,-0.1567946398909456 
 01/01  15:30:00,-1.1,84.02696930276508,1.0,57.94047897402063,1.0,57.94047897402063,84.02696930276508,-0.3088215630753187,1.9718956692499359,0.22334553662676627,-1.4041295599504338,-0.2034987203475661 
 01/01  15:45:00,-1.1,64.83124821518905,1.0,45.38251793443488,1.0,45.38251793443488,64.83124821518905,-0.34998921584286565,1.3619706289684939,-0.04034162366372129,-1.5589915441869949,-0.2568172372051065 
 01/01  16:00:00,-1.1,45.06351933370178,1.0,32.02625108222755,1.0,32.02625108222755,45.06351933370178,-0.4274292903386216,0.48239777154656846,-0.322593067146272,-1.7372676816029867,-0.31138617335923166 
 01/01  16:15:00,-1.1,24.644545816942619,1.0,17.762198626050539,1.0,17.762198626050539,24.644545816942619,-0.5330594765242769,-0.7892030169809207,-0.6607497046283015,-2.038923437038193,-0.3695757512575326 
